"","depress_grp","select_characteristics","sum_total","share","week"
"1","Less than half the days","    Yes",160667,0.430750711139351,34
"2","More than half the days","    Yes",212326,0.569249288860649,34
"3","Less than half the days","    No",1863348,0.835804694165172,34
"4","More than half the days","    No",366058,0.164195305834828,34
"5","Less than half the days","    Other",106115,0.674679874365789,34
"6","More than half the days","    Other",51167,0.325320125634211,34
"7","Less than half the days","    Did not report",30642,0.871080535577224,34
"8","More than half the days","    Did not report",4535,0.128919464422776,34
"9","Less than half the days","    Yes",177809,0.709199179955169,35
"10","More than half the days","    Yes",72909,0.290800820044831,35
"11","Less than half the days","    No",1959904,0.833211392258152,35
"12","More than half the days","    No",392325,0.166788607741848,35
"13","Less than half the days","    Other",83190,0.628688890064463,35
"14","More than half the days","    Other",49133,0.371311109935537,35
"15","Less than half the days","    Did not report",46873,0.905233680957899,35
"16","More than half the days","    Did not report",4907,0.0947663190421012,35
"17","Less than half the days","    Yes",189794,0.625140809349082,36
"18","More than half the days","    Yes",113808,0.374859190650918,36
"19","Less than half the days","    No",2003755,0.848210581747189,36
"20","More than half the days","    No",358577,0.151789418252811,36
"21","Less than half the days","    Other",53433,0.575749412753486,36
"22","More than half the days","    Other",39373,0.424250587246514,36
"23","Less than half the days","    Did not report",24808,0.985539488320356,36
"24","More than half the days","    Did not report",364,0.014460511679644,36
"25","Less than half the days","    Yes",218746,0.564620916264219,37
"26","More than half the days","    Yes",168675,0.435379083735781,37
"27","Less than half the days","    No",1956145,0.846408934923506,37
"28","More than half the days","    No",354966,0.153591065076494,37
"29","Less than half the days","    Other",102135,0.75595079491962,37
"30","More than half the days","    Other",32973,0.24404920508038,37
"31","Less than half the days","    Did not report",55220,0.631807780320366,37
"32","More than half the days","    Did not report",32180,0.368192219679634,37
"33","Less than half the days","    Yes",239514,0.61081188603605,38
"34","More than half the days","    Yes",152610,0.38918811396395,38
"35","Less than half the days","    No",1929696,0.857183216462643,38
"36","More than half the days","    No",321510,0.142816783537357,38
"37","Less than half the days","    Other",99012,0.609589715805546,38
"38","More than half the days","    Other",63412,0.390410284194454,38
"39","Less than half the days","    Did not report",39102,0.934225301636603,38
"40","More than half the days","    Did not report",2753,0.0657746983633974,38
"41","Less than half the days","    Yes",205662,0.685670277352697,39
"42","More than half the days","    Yes",94281,0.314329722647303,39
"43","Less than half the days","    No",2045973,0.847529993264409,39
"44","More than half the days","    No",368069,0.152470006735591,39
"45","Less than half the days","    Other",123178,0.565135207054441,39
"46","More than half the days","    Other",94784,0.434864792945559,39
"47","Less than half the days","    Did not report",31087,0.904559606599354,39
"48","More than half the days","    Did not report",3280,0.095440393400646,39
"49","Less than half the days","    Yes",208855,0.55666462325755,40
"50","More than half the days","    Yes",166335,0.44333537674245,40
"51","Less than half the days","    No",1922139,0.84544961515471,40
"52","More than half the days","    No",351372,0.15455038484529,40
"53","Less than half the days","    Other",91667,0.699838910392952,40
"54","More than half the days","    Other",39316,0.300161089607048,40
"55","Less than half the days","    Did not report",37101,0.80133480204756,40
"56","More than half the days","    Did not report",9198,0.19866519795244,40
"57","Less than half the days","    Yes",218005,0.61133467001304,41
"58","More than half the days","    Yes",138600,0.38866532998696,41
"59","Less than half the days","    No",2039382,0.836761539320016,41
"60","More than half the days","    No",397850,0.163238460679985,41
"61","Less than half the days","    Other",60588,0.662040932285805,41
"62","More than half the days","    Other",30929,0.337959067714195,41
"63","Less than half the days","    Did not report",49501,0.898841516560139,41
"64","More than half the days","    Did not report",5571,0.101158483439861,41
"65","Less than half the days","    Yes",170770,0.655194904849601,42
"66","More than half the days","    Yes",89870,0.344805095150399,42
"67","Less than half the days","    No",1919904,0.816786134702426,42
"68","More than half the days","    No",430655,0.183213865297574,42
