,PRACE,Female,Male
1,American Indian or Alaskan Native Alone,SAL-First-Line Supervisors Of Retail Sales Workers,CLN-Janitors And Building Cleaners
3,Asian alone,CMM-Software Developers,CMM-Software Developers
7,Black or African American alone,HLS-Personal Care Aides,TRN-Driver/Sales Workers And Truck Drivers
2,Hispanic or Latino,CLN-Maids And Housekeeping Cleaners,TRN-Driver/Sales Workers And Truck Drivers
6,Native Hawaiian and Other Pacific Islander alone,EAT-Waiters And Waitresses,PRT-Security Guards And Gambling Surveillance Officers
8,Some Other Race alone,"TRN-Laborers And Freight, Stock, And Material Movers, Hand","TRN-Laborers And Freight, Stock, And Material Movers, Hand"
4,Two or More Races,MGR-Other Managers,CMM-Software Developers
5,White alone,EDU-Elementary And Middle School Teachers,CMM-Software Developers
