"","job_group","SEX","workers"
"1","BUS","Female",13403
"2","BUS","Male",10936
"3","CLN","Female",5819
"4","CLN","Male",8002
"5","CMM","Female",11159
"6","CMM","Male",36034
"7","CMS","Female",5945
"8","CMS","Male",3073
"9","CON","Female",1790
"10","CON","Male",23386
"11","EAT","Female",15427
"12","EAT","Male",12243
"13","EDU","Female",21606
"14","EDU","Male",7866
"15","ENG","Female",3589
"16","ENG","Male",14324
"17","ENT","Female",7880
"18","ENT","Male",6133
"19","EXT","Male",194
"20","FFF","Female",444
"21","FFF","Male",1675
"22","FIN","Female",6057
"23","FIN","Male",4997
"24","HLS","Female",13176
"25","HLS","Male",2901
"26","LGL","Female",3018
"27","LGL","Male",2759
"28","MED","Female",21625
"29","MED","Male",8784
"30","MGR","Female",29949
"31","MGR","Male",39451
"32","MIL","Female",596
"33","MIL","Male",3650
"34","OFF","Female",34502
"35","OFF","Male",14453
"36","PRD","Female",6100
"37","PRD","Male",14405
"38","PRS","Female",10131
"39","PRS","Male",2672
"40","PRT","Female",2712
"41","PRT","Male",6841
"42","RPR","Female",842
"43","RPR","Male",12323
"44","SAL","Female",24162
"45","SAL","Male",22854
"46","SCI","Female",4226
"47","SCI","Male",3226
"48","TRN","Female",10290
"49","TRN","Male",27999
"50","Une","Female",1629
"51","Une","Male",995
"52",NA,"Female",164229
"53",NA,"Male",135699
