"","PRACE","Male","Female"
"1","American Indian or Alaskan Native Alone",24046.4376,53353.836
"2","Hispanic or Latino",37523.196,11843.71
"3","Asian alone",159615.12,159615.12
"4","Two or More Races",159615.12,104231.1
"5","White alone",159615.12,61496.349
"6","Native Hawaiian and Other Pacific Islander alone",34795.98,15396.823
"7","Black or African American alone",37523.196,20846.22
"8","Some Other Race alone",23687.42,23687.42
